# index	name	x_px	y_px	z_norm	x_norm	y_norm
442		331.478226	126.549648	-0.016494	0.552464	0.329556
443		342.051423	125.495762	-0.015789	0.570086	0.326812
444		350.558066	126.723518	-0.010581	0.584263	0.330009
445		356.227684	129.622673	-0.002546	0.593713	0.337559
446		359.063423	140.713840	0.018633	0.598439	0.366442
447		378.579426	157.407600	0.076294	0.630966	0.409916
448		353.666103	150.366531	0.011754	0.589444	0.391580
449		346.690857	152.525539	0.004838	0.577818	0.397202
450		337.340677	152.623363	0.000098	0.562234	0.397457
451		328.434277	151.034683	-0.001891	0.547390	0.393319
452		321.457672	148.853931	-0.003415	0.535763	0.387640
453		316.687274	146.760853	-0.004494	0.527812	0.382190
454	left_cheek_outer	379.847217	156.652828	0.121122	0.633079	0.407950
455		319.856036	186.103775	-0.026363	0.533093	0.484645
456		310.824502	164.287479	-0.041641	0.518041	0.427832
457		310.584855	184.475784	-0.055242	0.517641	0.480406
458		307.132494	187.863350	-0.049719	0.511887	0.489227
459		310.679090	185.383381	-0.049256	0.517798	0.482769
460		317.968011	188.073944	-0.021807	0.529947	0.489776
461		305.707955	188.732162	-0.052757	0.509513	0.491490
462		305.088115	189.914303	-0.038287	0.508480	0.494568
463		316.399169	141.393826	-0.000332	0.527332	0.368213
464		312.998271	143.242687	-0.007127	0.521664	0.373028
465		311.060715	144.845032	-0.015325	0.518435	0.377201
466		349.165928	137.860336	0.005938	0.581943	0.359011
467		354.417443	134.911869	0.006074	0.590696	0.351333
468	right_iris_center	264.111221	137.893627	0.001077	0.440185	0.359098
469		270.558661	137.864960	0.001077	0.450931	0.359023
470		264.005917	132.026333	0.001077	0.440010	0.343819
471		257.526022	137.934311	0.001077	0.429210	0.359204
472		264.121807	143.820362	0.001077	0.440203	0.374532
473	left_iris_center	336.617553	138.062027	0.000781	0.561029	0.359537
474		343.574166	137.998089	0.000781	0.572624	0.359370
475		336.571848	132.191689	0.000781	0.560953	0.344249
476		329.712725	138.105652	0.000781	0.549521	0.359650
477		336.733174	144.026619	0.000781	0.561222	0.375069
